,gene_id,AUX_11c_S1_L001_R1_001_Count.count,AUX_11c_S1_L002_R1_001_Count.count,AUX_11c_S1_L003_R1_001_Count.count,AUX_23b_S4_L001_R1_001_Count.count,AUX_23b_S4_L002_R1_001_Count.count,AUX_23b_S4_L003_R1_001_Count.count,AUX_28a_S7_L001_R1_001_Count.count,AUX_28a_S7_L002_R1_001_Count.count,AUX_28a_S7_L003_R1_001_Count.count,AUX_C_19c_S9_L001_R1_001_Count.count,AUX_C_19c_S9_L002_R1_001_Count.count,AUX_C_19c_S9_L003_R1_001_Count.count,AUX_C_21cc_S11_L001_R1_001_Count.count,AUX_C_21cc_S11_L002_R1_001_Count.count,AUX_C_21cc_S11_L003_R1_001_Count.count,AUX_C_26b_S13_L001_R1_001_Count.count,AUX_C_26b_S13_L002_R1_001_Count.count,AUX_C_26b_S13_L003_R1_001_Count.count,CK_14bb_S15_L001_R1_001_Count.count,CK_14bb_S15_L002_R1_001_Count.count,CK_14bb_S15_L003_R1_001_Count.count,CK_17a_S17_L001_R1_001_Count.count,CK_17a_S17_L002_R1_001_Count.count,CK_17a_S17_L003_R1_001_Count.count,CK_25c_S2_L001_R1_001_Count.count,CK_25c_S2_L002_R1_001_Count.count,CK_25c_S2_L003_R1_001_Count.count,GA3_13ab_S5_L001_R1_001_Count.count,GA3_13ab_S5_L002_R1_001_Count.count,GA3_13ab_S5_L003_R1_001_Count.count,GA3_15ab_S8_L001_R1_001_Count.count,GA3_15ab_S8_L002_R1_001_Count.count,GA3_15ab_S8_L003_R1_001_Count.count,GA3_24b_S10_L001_R1_001_Count.count,GA3_24b_S10_L002_R1_001_Count.count,GA3_24b_S10_L003_R1_001_Count.count,GA3_CK_C_12c_S12_L001_R1_001_Count.count,GA3_CK_C_12c_S12_L002_R1_001_Count.count,GA3_CK_C_12c_S12_L003_R1_001_Count.count,GA3_CK_C_16ab_S14_L001_R1_001_Count.count,GA3_CK_C_16ab_S14_L002_R1_001_Count.count,GA3_CK_C_16ab_S14_L003_R1_001_Count.count,GA3_CK_C_20b_S16_L001_R1_001_Count.count,GA3_CK_C_20b_S16_L002_R1_001_Count.count,GA3_CK_C_20b_S16_L003_R1_001_Count.count,W_C_18cc_S18_L001_R1_001_Count.count,W_C_18cc_S18_L002_R1_001_Count.count,W_C_18cc_S18_L003_R1_001_Count.count,W_C_22a_S3_L001_R1_001_Count.count,W_C_22a_S3_L002_R1_001_Count.count,W_C_22a_S3_L003_R1_001_Count.count,W_C_27b.pooled_S6_L001_R1_001_Count.count,W_C_27b.pooled_S6_L002_R1_001_Count.count,W_C_27b.pooled_S6_L003_R1_001_Count.count
5,GSVIVT01000001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,GSVIVT01000002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,GSVIVT01000003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,GSVIVT01000004001,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,GSVIVT01000005001,0,2,1,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,1,3,0,2,3,0,1,2,0,1,3,1,1,1,0,1,0,0,0,2,3,0,1,0,1,0,1,3,0,6,0,0,0,1,0,0
10,GSVIVT01000006001,2,0,0,0,3,0,0,0,1,2,0,1,1,1,2,0,0,2,0,2,0,1,4,1,2,0,1,1,0,1,4,2,1,0,1,2,4,1,2,0,1,2,3,1,2,7,4,6,2,0,0,0,2,0
11,GSVIVT01000007001,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,8,1,0,1,1,0,0
12,GSVIVT01000008001,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
13,GSVIVT01000009001,0,1,0,0,0,3,1,0,1,1,3,0,4,2,2,4,0,1,1,0,1,1,0,2,0,1,1,0,1,0,0,1,0,4,2,5,2,1,0,0,1,2,1,0,0,1,2,1,2,1,1,1,1,1
14,GSVIVT01000010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,GSVIVT01000012001,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,GSVIVT01000015001,4,0,3,0,2,3,3,3,2,0,0,1,1,2,1,2,2,0,0,0,0,1,1,1,0,0,2,2,1,2,1,2,0,0,1,1,4,1,1,0,0,2,0,2,1,1,0,1,2,2,0,1,3,2
17,GSVIVT01000016001,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,GSVIVT01000017001,0,2,0,1,0,0,0,2,2,0,2,2,1,0,1,0,2,2,1,0,1,2,3,1,0,0,1,3,0,2,5,2,3,1,2,0,1,2,1,2,1,0,0,2,0,0,0,0,3,2,0,0,0,1
19,GSVIVT01000019001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GSVIVT01000020001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
21,GSVIVT01000021001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,GSVIVT01000023001,265,317,277,507,533,554,413,418,408,317,349,314,525,546,514,478,493,503,783,870,869,623,668,647,403,480,425,469,527,569,297,349,355,410,411,417,502,516,569,541,579,608,325,327,333,449,456,492,542,570,577,585,614,615
23,GSVIVT01000024001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24,GSVIVT01000025001,5,2,4,3,3,4,7,4,0,1,1,1,2,3,3,0,2,2,0,7,1,1,4,5,1,0,1,3,5,3,1,0,4,3,3,8,2,3,4,2,1,6,2,1,0,2,4,5,2,5,2,0,2,2
25,GSVIVT01000026001,23,27,35,26,27,27,32,53,45,36,44,51,28,36,46,26,24,24,35,38,29,35,33,47,24,25,23,23,31,31,25,38,23,21,20,25,18,21,21,33,17,30,16,14,31,28,27,27,28,15,38,21,26,25
26,GSVIVT01000027001,7,4,8,3,4,4,7,8,6,3,3,1,0,5,5,5,4,3,9,5,3,5,6,8,2,2,5,11,2,7,2,3,5,5,6,1,9,5,2,2,6,5,8,6,9,5,4,7,5,3,13,4,3,1
