,gene_id,X1.9.2_S4_L001_R1_001_Count.count,X1.9.2_S4_L002_R1_001_Count.count,X1.9.2_S4_L003_R1_001_Count.count,X1.9.2.G_S16_L001_R1_001_Count.count,X1.9.2.G_S16_L002_R1_001_Count.count,X1.9.2.G_S16_L003_R1_001_Count.count,X2.6.2_S6_L001_R1_001_Count.count,X2.6.2_S6_L002_R1_001_Count.count,X2.6.2_S6_L003_R1_001_Count.count,X3.19.1_S1_L001_R1_001_Count.count,X3.19.1_S1_L002_R1_001_Count.count,X3.19.1_S1_L003_R1_001_Count.count,X3.19.1.G_S8_L001_R1_001_Count.count,X3.19.1.G_S8_L002_R1_001_Count.count,X3.19.1.G_S8_L003_R1_001_Count.count,X3.51.1_S12_L001_R1_001_Count.count,X3.51.1_S12_L002_R1_001_Count.count,X3.51.1_S12_L003_R1_001_Count.count,X3.51.1.G_S10_L001_R1_001_Count.count,X3.51.1.G_S10_L002_R1_001_Count.count,X3.51.1.G_S10_L003_R1_001_Count.count,X4.11.5_S14_L001_R1_001_Count.count,X4.11.5_S14_L002_R1_001_Count.count,X4.11.5_S14_L003_R1_001_Count.count,X4.44.4_S2_L001_R1_001_Count.count,X4.44.4_S2_L002_R1_001_Count.count,X4.44.4_S2_L003_R1_001_Count.count,X4.44.4.G_S17_L001_R1_001_Count.count,X4.44.4.G_S17_L002_R1_001_Count.count,X4.44.4.G_S17_L003_R1_001_Count.count,DPR.1.G_S5_L001_R1_001_Count.count,DPR.1.G_S5_L002_R1_001_Count.count,DPR.1.G_S5_L003_R1_001_Count.count,DPR.2.G_S7_L001_R1_001_Count.count,DPR.2.G_S7_L002_R1_001_Count.count,DPR.2.G_S7_L003_R1_001_Count.count,SB.C1_S9_L001_R1_001_Count.count,SB.C1_S9_L002_R1_001_Count.count,SB.C1_S9_L003_R1_001_Count.count,SB.C2_S11_L001_R1_001_Count.count,SB.C2_S11_L002_R1_001_Count.count,SB.C2_S11_L003_R1_001_Count.count,SB.C3_S13_L001_R1_001_Count.count,SB.C3_S13_L002_R1_001_Count.count,SB.C3_S13_L003_R1_001_Count.count,SB.CK.1.G_S15_L001_R1_001_Count.count,SB.CK.1.G_S15_L002_R1_001_Count.count,SB.CK.1.G_S15_L003_R1_001_Count.count,SB.CK.2.G_S18_L001_R1_001_Count.count,SB.CK.2.G_S18_L002_R1_001_Count.count,SB.CK.2.G_S18_L003_R1_001_Count.count,SB.CK.3.G_S3_L001_R1_001_Count.count,SB.CK.3.G_S3_L002_R1_001_Count.count,SB.CK.3.G_S3_L003_R1_001_Count.count
5,GSVIVT01000001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,GSVIVT01000002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
7,GSVIVT01000003001,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,GSVIVT01000004001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,GSVIVT01000005001,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,2,5,1,4,0,0,0,0,0,1,0,2,0,4,6,4,0,1,2,0,0,0
10,GSVIVT01000006001,0,1,0,0,0,0,1,8,2,0,2,3,1,2,0,2,3,1,1,0,2,4,4,2,0,0,0,2,4,0,2,4,4,11,4,12,1,0,0,3,1,1,3,2,4,9,5,2,7,4,1,5,5,2
11,GSVIVT01000007001,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,4,3,3,6,2,0,6,2,3
12,GSVIVT01000008001,1,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,GSVIVT01000009001,2,1,4,0,0,0,3,4,3,0,2,3,0,0,0,6,2,2,2,2,1,0,0,0,0,0,0,3,1,3,0,4,0,2,2,2,0,0,0,1,0,2,1,1,1,1,0,2,1,2,2,2,0,0
14,GSVIVT01000010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,GSVIVT01000012001,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
