"gene_id"	"AUX_11c_S1_L001_R1_001_Count.count"	"AUX_11c_S1_L002_R1_001_Count.count"	"AUX_11c_S1_L003_R1_001_Count.count"	"AUX_23b_S4_L001_R1_001_Count.count"	"AUX_23b_S4_L002_R1_001_Count.count"	"AUX_23b_S4_L003_R1_001_Count.count"	"AUX_28a_S7_L001_R1_001_Count.count"	"AUX_28a_S7_L002_R1_001_Count.count"	"AUX_28a_S7_L003_R1_001_Count.count"	"AUX_C_19c_S9_L001_R1_001_Count.count"	"AUX_C_19c_S9_L002_R1_001_Count.count"	"AUX_C_19c_S9_L003_R1_001_Count.count"	"AUX_C_21cc_S11_L001_R1_001_Count.count"	"AUX_C_21cc_S11_L002_R1_001_Count.count"	"AUX_C_21cc_S11_L003_R1_001_Count.count"	"AUX_C_26b_S13_L001_R1_001_Count.count"	"AUX_C_26b_S13_L002_R1_001_Count.count"	"AUX_C_26b_S13_L003_R1_001_Count.count"	"CK_14bb_S15_L001_R1_001_Count.count"	"CK_14bb_S15_L002_R1_001_Count.count"	"CK_14bb_S15_L003_R1_001_Count.count"	"CK_17a_S17_L001_R1_001_Count.count"	"CK_17a_S17_L002_R1_001_Count.count"	"CK_17a_S17_L003_R1_001_Count.count"	"CK_25c_S2_L001_R1_001_Count.count"	"CK_25c_S2_L002_R1_001_Count.count"	"CK_25c_S2_L003_R1_001_Count.count"	"GA3_13ab_S5_L001_R1_001_Count.count"	"GA3_13ab_S5_L002_R1_001_Count.count"	"GA3_13ab_S5_L003_R1_001_Count.count"	"GA3_15ab_S8_L001_R1_001_Count.count"	"GA3_15ab_S8_L002_R1_001_Count.count"	"GA3_15ab_S8_L003_R1_001_Count.count"	"GA3_24b_S10_L001_R1_001_Count.count"	"GA3_24b_S10_L002_R1_001_Count.count"	"GA3_24b_S10_L003_R1_001_Count.count"	"GA3_CK_C_12c_S12_L001_R1_001_Count.count"	"GA3_CK_C_12c_S12_L002_R1_001_Count.count"	"GA3_CK_C_12c_S12_L003_R1_001_Count.count"	"GA3_CK_C_16ab_S14_L001_R1_001_Count.count"	"GA3_CK_C_16ab_S14_L002_R1_001_Count.count"	"GA3_CK_C_16ab_S14_L003_R1_001_Count.count"	"GA3_CK_C_20b_S16_L001_R1_001_Count.count"	"GA3_CK_C_20b_S16_L002_R1_001_Count.count"	"GA3_CK_C_20b_S16_L003_R1_001_Count.count"	"W_C_18cc_S18_L001_R1_001_Count.count"	"W_C_18cc_S18_L002_R1_001_Count.count"	"W_C_18cc_S18_L003_R1_001_Count.count"	"W_C_22a_S3_L001_R1_001_Count.count"	"W_C_22a_S3_L002_R1_001_Count.count"	"W_C_22a_S3_L003_R1_001_Count.count"	"W_C_27b.pooled_S6_L001_R1_001_Count.count"	"W_C_27b.pooled_S6_L002_R1_001_Count.count"	"W_C_27b.pooled_S6_L003_R1_001_Count.count"
"__alignment_not_unique"	190739	203664	203871	171836	186437	184874	247545	264302	264638	206218	220376	219231	219594	233849	233685	168593	180209	181021	187141	203349	202695	220590	234494	234250	188638	202050	202726	198384	211558	210994	211605	226484	226888	154037	164452	164567	166518	176590	178353	198900	212642	213901	199530	213625	213354	191764	205446	205707	186754	201463	202447	150784	161748	161318
"__ambiguous"	383	402	395	401	431	413	588	608	612	525	527	586	454	487	500	384	339	385	399	429	433	411	450	447	460	483	475	533	547	558	557	538	569	347	358	368	422	466	470	394	441	407	402	425	436	415	409	407	381	419	428	299	289	320
"__no_feature"	7192280	7683320	7716372	6557502	7057581	7067487	9313218	9990740	10021023	9557636	10260641	10234992	8653282	9250084	9270239	6980774	7497192	7510602	7817756	8476341	8454004	8701091	9328186	9307799	7505941	8079621	8114790	7676078	8182882	8201147	7494904	8047704	8069811	6287521	6751405	6776585	6795453	7273345	7298558	8180590	8751060	8806273	8043015	8621297	8607172	7493445	8034489	8048825	7668770	8234806	8281534	6274783	6773184	6797037
"__not_aligned"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"__too_low_aQual"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816625"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816626"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"PAC:17816627"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816628"	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"PAC:17816629"	0	2	1	0	0	0	0	0	0	0	2	2	1	0	0	0	1	1	1	3	0	2	3	0	1	2	0	1	3	1	1	1	0	1	0	0	0	2	3	0	1	0	1	0	1	3	0	6	0	0	0	1	0	0
"PAC:17816630"	2	0	0	0	3	0	0	0	1	2	0	1	1	1	2	0	0	2	0	2	0	1	4	1	2	0	1	1	0	1	4	2	1	0	1	2	4	1	2	0	1	2	3	1	2	7	4	6	2	0	0	0	2	0
"PAC:17816631"	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	8	1	0	1	1	0	0
"PAC:17816632"	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
"PAC:17816633"	0	1	0	0	0	3	1	0	1	1	3	0	4	2	2	4	0	1	1	0	1	1	0	2	0	1	1	0	1	0	0	1	0	4	2	5	2	1	0	0	1	2	1	0	0	1	2	1	2	1	1	1	1	1
"PAC:17816634"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816635"	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816636"	4	0	3	0	2	3	3	3	2	0	0	1	1	2	1	2	2	0	0	0	0	1	1	1	0	0	2	2	1	2	1	2	0	0	1	1	4	1	1	0	0	2	0	2	1	1	0	1	2	2	0	1	3	2
"PAC:17816637"	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816638"	0	2	0	1	0	0	0	2	2	0	2	2	1	0	1	0	2	2	1	0	1	2	3	1	0	0	1	3	0	2	5	2	3	1	2	0	1	2	1	2	1	0	0	2	0	0	0	0	3	2	0	0	0	1
"PAC:17816639"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816640"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
"PAC:17816641"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"PAC:17816642"	265	317	277	507	533	554	413	418	408	317	349	314	525	546	514	478	493	503	783	870	869	623	668	647	403	480	425	469	527	569	297	349	355	410	411	417	502	516	569	541	579	608	325	327	333	449	456	492	542	570	577	585	614	615
"PAC:17816643"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
"PAC:17816644"	5	2	4	3	3	4	7	4	0	1	1	1	2	3	3	0	2	2	0	7	1	1	4	5	1	0	1	3	5	3	1	0	4	3	3	8	2	3	4	2	1	6	2	1	0	2	4	5	2	5	2	0	2	2
"PAC:17816645"	23	27	35	26	27	27	32	53	45	36	44	51	28	36	46	26	24	24	35	38	29	35	33	47	24	25	23	23	31	31	25	38	23	21	20	25	18	21	21	33	17	30	16	14	31	28	27	27	28	15	38	21	26	25
"PAC:17816646"	7	4	8	3	4	4	7	8	6	3	3	1	0	5	5	5	4	3	9	5	3	5	6	8	2	2	5	11	2	7	2	3	5	5	6	1	9	5	2	2	6	5	8	6	9	5	4	7	5	3	13	4	3	1
"PAC:17816647"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816648"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
"PAC:17816649"	7	5	3	5	6	2	1	3	7	9	0	3	7	2	2	3	9	6	1	2	0	7	5	3	2	5	1	4	2	2	6	4	5	0	5	3	8	3	5	3	0	2	5	4	4	2	2	4	2	6	2	1	3	1
"PAC:17816650"	7	14	3	6	5	7	6	8	9	1	7	3	8	4	7	10	6	7	9	6	5	11	7	7	5	3	2	4	4	1	5	2	3	3	7	4	6	5	4	5	3	1	13	7	11	8	4	4	3	4	10	3	4	4
"PAC:17816651"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816652"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816653"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816654"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816655"	0	1	0	0	2	2	0	1	0	0	0	4	0	2	1	0	0	1	0	3	2	0	0	1	0	1	0	0	2	0	0	1	1	0	1	0	3	0	1	1	0	1	3	0	0	0	0	0	0	2	1	0	1	1
"PAC:17816656"	0	0	0	3	1	0	0	1	3	0	0	0	1	0	1	1	0	1	0	0	0	1	3	1	1	0	0	3	0	1	0	1	0	0	0	0	1	0	1	3	0	1	0	1	1	1	0	1	0	1	0	1	1	0
"PAC:17816657"	0	1	0	0	0	0	1	4	0	0	1	0	1	1	2	2	1	1	0	2	2	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	1	0	1
"PAC:17816658"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"PAC:17816659"	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	1	0	2	1	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
"PAC:17816660"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
"PAC:17816661"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"PAC:17816662"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816663"	1	0	0	0	1	1	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	2
"PAC:17816664"	0	1	1	0	0	0	6	2	3	1	0	0	2	1	0	0	0	0	0	0	1	1	2	0	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	2	1	1	3	1	1	0	1	0	1	1	1	0	1	0
