"gene_id"	"AUX_11c_S1_L002_R1_001_Count.count"	"AUX_23b_S4_L002_R1_001_Count.count"	"AUX_28a_S7_L002_R1_001_Count.count"	"AUX_C_19c_S9_L002_R1_001_Count.count"	"AUX_C_21cc_S11_L002_R1_001_Count.count"	"AUX_C_26b_S13_L002_R1_001_Count.count"	"CK_14bb_S15_L002_R1_001_Count.count"	"CK_17a_S17_L002_R1_001_Count.count"	"CK_25c_S2_L002_R1_001_Count.count"	"GA3_13ab_S5_L002_R1_001_Count.count"	"GA3_15ab_S8_L002_R1_001_Count.count"	"GA3_24b_S10_L002_R1_001_Count.count"	"GA3_CK_C_12c_S12_L002_R1_001_Count.count"	"GA3_CK_C_16ab_S14_L002_R1_001_Count.count"	"GA3_CK_C_20b_S16_L002_R1_001_Count.count"	"W_C_18cc_S18_L002_R1_001_Count.count"	"W_C_22a_S3_L002_R1_001_Count.count"	"W_C_27b.pooled_S6_L002_R1_001_Count.count"
"__alignment_not_unique"	351839	338718	461958	378656	403894	317009	362861	409727	357943	351963	370129	278908	299994	368201	373018	364328	365453	294777
"__ambiguous"	627	727	1081	889	764	691	727	711	839	933	984	618	680	674	714	782	769	555
"__no_feature"	13533775	13115453	17702302	18029092	16274957	13386937	15422230	16540455	14350438	13813806	13183521	11576217	12423034	15272867	15168225	14456799	15253890	12583833
"__not_aligned"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"__too_low_aQual"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816625"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816626"	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
"PAC:17816627"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"PAC:17816628"	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0
"PAC:17816629"	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	7	0	0
"PAC:17816630"	2	2	5	5	1	3	4	4	2	2	1	2	3	1	1	9	1	0
"PAC:17816631"	2	0	0	1	1	0	1	1	0	0	1	1	0	0	0	11	1	0
"PAC:17816632"	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
"PAC:17816633"	1	0	1	1	2	3	0	1	0	2	2	3	1	1	2	0	2	0
"PAC:17816634"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816635"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816636"	2	0	0	0	10	2	3	1	1	1	0	1	3	1	7	1	4	5
"PAC:17816637"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816638"	1	1	3	1	1	2	1	1	5	1	0	5	0	1	1	3	1	0
"PAC:17816639"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"PAC:17816640"	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"PAC:17816641"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816642"	584	1018	755	583	953	864	1613	1139	821	905	551	805	1000	1010	643	900	1045	1171
"PAC:17816643"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816644"	7	4	7	3	5	3	6	6	7	5	2	4	8	3	7	6	1	3
"PAC:17816645"	53	50	106	79	82	63	71	76	46	66	43	63	44	56	55	61	50	43
"PAC:17816646"	5	9	7	2	10	10	19	11	10	12	4	4	4	7	7	9	11	11
"PAC:17816647"	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
"PAC:17816648"	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
"PAC:17816649"	8	5	14	5	6	5	3	13	7	6	14	12	4	6	5	4	8	2
"PAC:17816650"	17	11	20	10	16	14	14	23	10	6	5	8	7	19	12	9	18	5
"PAC:17816651"	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0
"PAC:17816652"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"PAC:17816653"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816654"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816655"	0	0	1	3	1	0	3	0	0	1	0	0	0	1	1	0	1	0
"PAC:17816656"	0	0	3	0	0	0	0	1	1	0	0	0	1	0	0	2	1	0
"PAC:17816657"	0	0	3	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0
"PAC:17816658"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816659"	0	1	0	0	0	0	1	1	2	0	0	0	0	0	2	0	0	3
"PAC:17816660"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816661"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816662"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816663"	1	0	2	1	0	1	2	1	1	1	0	0	1	0	1	0	0	1
"PAC:17816664"	0	1	3	3	0	2	0	1	0	0	0	1	0	0	3	1	4	0
"PAC:17816665"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816666"	0	2	0	1	0	3	0	1	1	1	0	0	0	0	1	0	1	0
"PAC:17816667"	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
"PAC:17816668"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816669"	11	0	31	21	2	9	3	16	3	3	19	12	5	1	10	2	6	15
"PAC:17816670"	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
"PAC:17816671"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816672"	5	0	10	7	1	3	4	1	1	2	8	8	3	3	6	1	9	2
"PAC:17816673"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816674"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816675"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816676"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816677"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816678"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816679"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816680"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816681"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816682"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816683"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816684"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816685"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816686"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816687"	2	2	4	0	0	1	0	2	0	1	1	1	1	0	0	0	0	1
"PAC:17816688"	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
"PAC:17816689"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816690"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"PAC:17816691"	1	0	1	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0
"PAC:17816692"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
"PAC:17816693"	1	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0
"PAC:17816694"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816695"	1	0	0	3	1	0	1	1	0	1	3	0	1	0	0	1	0	2
"PAC:17816696"	0	0	1	1	0	1	0	2	0	0	2	0	2	1	0	0	0	1
"PAC:17816697"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
"PAC:17816698"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"PAC:17816699"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"PAC:17816700"	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0
"PAC:17816701"	2	3	0	0	1	1	3	1	0	0	1	0	0	0	2	2	1	1
"PAC:17816702"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816703"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816704"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816705"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816706"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816707"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"PAC:17816708"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816709"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816710"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816711"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816712"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816713"	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816714"	17	19	20	12	11	4	12	9	11	4	11	9	11	2	9	6	11	6
