"gene_id"	"X1.9.2_S4_L001_R1_001_Count.count"	"X1.9.2_S4_L002_R1_001_Count.count"	"X1.9.2_S4_L003_R1_001_Count.count"	"X1.9.2.G_S16_L001_R1_001_Count.count"	"X1.9.2.G_S16_L002_R1_001_Count.count"	"X1.9.2.G_S16_L003_R1_001_Count.count"	"X2.6.2_S6_L001_R1_001_Count.count"	"X2.6.2_S6_L002_R1_001_Count.count"	"X2.6.2_S6_L003_R1_001_Count.count"	"X3.19.1_S1_L001_R1_001_Count.count"	"X3.19.1_S1_L002_R1_001_Count.count"	"X3.19.1_S1_L003_R1_001_Count.count"	"X3.19.1.G_S8_L001_R1_001_Count.count"	"X3.19.1.G_S8_L002_R1_001_Count.count"	"X3.19.1.G_S8_L003_R1_001_Count.count"	"X3.51.1_S12_L001_R1_001_Count.count"	"X3.51.1_S12_L002_R1_001_Count.count"	"X3.51.1_S12_L003_R1_001_Count.count"	"X3.51.1.G_S10_L001_R1_001_Count.count"	"X3.51.1.G_S10_L002_R1_001_Count.count"	"X3.51.1.G_S10_L003_R1_001_Count.count"	"X4.11.5_S14_L001_R1_001_Count.count"	"X4.11.5_S14_L002_R1_001_Count.count"	"X4.11.5_S14_L003_R1_001_Count.count"	"X4.44.4_S2_L001_R1_001_Count.count"	"X4.44.4_S2_L002_R1_001_Count.count"	"X4.44.4_S2_L003_R1_001_Count.count"	"X4.44.4.G_S17_L001_R1_001_Count.count"	"X4.44.4.G_S17_L002_R1_001_Count.count"	"X4.44.4.G_S17_L003_R1_001_Count.count"	"DPR.1.G_S5_L001_R1_001_Count.count"	"DPR.1.G_S5_L002_R1_001_Count.count"	"DPR.1.G_S5_L003_R1_001_Count.count"	"DPR.2.G_S7_L001_R1_001_Count.count"	"DPR.2.G_S7_L002_R1_001_Count.count"	"DPR.2.G_S7_L003_R1_001_Count.count"	"SB.C1_S9_L001_R1_001_Count.count"	"SB.C1_S9_L002_R1_001_Count.count"	"SB.C1_S9_L003_R1_001_Count.count"	"SB.C2_S11_L001_R1_001_Count.count"	"SB.C2_S11_L002_R1_001_Count.count"	"SB.C2_S11_L003_R1_001_Count.count"	"SB.C3_S13_L001_R1_001_Count.count"	"SB.C3_S13_L002_R1_001_Count.count"	"SB.C3_S13_L003_R1_001_Count.count"	"SB.CK.1.G_S15_L001_R1_001_Count.count"	"SB.CK.1.G_S15_L002_R1_001_Count.count"	"SB.CK.1.G_S15_L003_R1_001_Count.count"	"SB.CK.2.G_S18_L001_R1_001_Count.count"	"SB.CK.2.G_S18_L002_R1_001_Count.count"	"SB.CK.2.G_S18_L003_R1_001_Count.count"	"SB.CK.3.G_S3_L001_R1_001_Count.count"	"SB.CK.3.G_S3_L002_R1_001_Count.count"	"SB.CK.3.G_S3_L003_R1_001_Count.count"
"__alignment_not_unique"	347387	345798	346786	365903	362354	362404	458452	445858	448009	479853	473558	477517	479984	472049	473816	424706	418753	420524	405566	397278	396985	326592	317666	319606	310572	303899	305177	444284	443745	443232	448099	437644	437931	451010	443382	443914	182980	177785	178259	285875	279034	279620	315960	309203	310528	465560	456351	457168	409752	404852	407142	486190	481383	482294
"__ambiguous"	1919	1968	2077	18518	18367	18645	3456	3626	3552	9716	9597	9617	35425	35293	35036	13022	13056	12946	14083	13429	13838	6788	6619	6723	1957	1889	1871	13078	13288	13216	7087	6781	6724	9540	9534	9537	823	800	823	8308	8180	8107	1873	1843	1820	15681	15696	15413	22933	22597	22356	22239	22071	21943
"__no_feature"	15611496	15597697	15590932	10508699	10447750	10464206	18807314	18448856	18460157	19944188	19906053	19914913	13900725	13769377	13770126	18000386	17865891	17863397	13930905	13698941	13714718	10515459	10310679	10326696	12369691	12122018	12147410	15384178	15463808	15478468	15289461	15034574	15033622	17196564	17002636	17007140	9410054	9179419	9186978	14086373	13871577	13883547	14959464	14699270	14702759	16584959	16328774	16360934	14380729	14307962	14315100	16336729	16230182	16228946
"__not_aligned"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"__too_low_aQual"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816625"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816626"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
"PAC:17816627"	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"PAC:17816628"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"PAC:17816629"	0	2	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	2	5	1	4	0	0	0	0	0	1	0	2	0	4	6	4	0	1	2	0	0	0
