Gene_Name	Direction_Differentially_Regulated
PAC:17816625	0
PAC:17816626	0
PAC:17816627	0
PAC:17816628	0
PAC:17816629	0
PAC:17816630	0
PAC:17816631	0
PAC:17816632	0
PAC:17816633	0
PAC:17816635	0
PAC:17816636	0
PAC:17816637	0
PAC:17816638	0
PAC:17816639	0
PAC:17816640	0
PAC:17816641	0
PAC:17816642	0
PAC:17816643	0
PAC:17816644	0
PAC:17816645	-1
PAC:17816646	0
PAC:17816647	0
PAC:17816648	0
PAC:17816649	0
PAC:17816650	0
PAC:17816651	0
PAC:17816652	0
PAC:17816653	0
PAC:17816654	0
PAC:17816655	0
PAC:17816656	0
PAC:17816657	0
PAC:17816658	0
PAC:17816659	0
PAC:17816660	0
PAC:17816661	0
PAC:17816662	0
PAC:17816663	0
PAC:17816664	0
PAC:17816665	0
PAC:17816666	0
PAC:17816667	0
PAC:17816668	0
PAC:17816669	0
PAC:17816670	0
PAC:17816672	0
PAC:17816674	0
PAC:17816686	0
PAC:17816687	0
PAC:17816688	0
PAC:17816689	0
PAC:17816690	0
PAC:17816691	0
PAC:17816692	0
PAC:17816693	0
PAC:17816694	0
PAC:17816695	0
PAC:17816696	0
PAC:17816697	0
PAC:17816698	0
PAC:17816699	0
PAC:17816700	0
PAC:17816701	0
PAC:17816702	0
PAC:17816713	0
PAC:17816714	0
PAC:17816715	0
PAC:17816716	0
PAC:17816718	0
PAC:17816719	0
PAC:17816720	0
PAC:17816721	0
PAC:17816722	0
PAC:17816723	0
PAC:17816724	0
PAC:17816725	0
PAC:17816726	0
PAC:17816727	0
PAC:17816728	0
PAC:17816729	0
PAC:17816730	0
PAC:17816731	0
PAC:17816732	0
PAC:17816733	0
PAC:17816734	0
PAC:17816735	0
PAC:17816736	0
PAC:17816737	0
PAC:17816738	0
PAC:17816739	0
PAC:17816740	0
PAC:17816741	0
PAC:17816742	1
PAC:17816743	0
PAC:17816744	0
PAC:17816745	0
PAC:17816746	0
PAC:17816747	0
PAC:17816748	0
PAC:17816750	0
PAC:17816751	0
PAC:17816752	0
PAC:17816753	0
PAC:17816754	0
PAC:17816755	0
PAC:17816756	0
PAC:17816757	0
PAC:17816758	0
PAC:17816759	0
PAC:17816760	0
PAC:17816761	0
PAC:17816762	0
PAC:17816763	0
PAC:17816764	0
PAC:17816765	0
PAC:17816766	0
PAC:17816767	0
PAC:17816768	0
PAC:17816769	0
PAC:17816770	0
PAC:17816771	0
PAC:17816773	0
PAC:17816774	0
PAC:17816775	0
PAC:17816776	0
PAC:17816779	1
PAC:17816780	0
PAC:17816782	0
PAC:17816783	0
PAC:17816784	0
PAC:17816790	0
PAC:17816791	0
